variant,chain_ms,psnr_all,psnr_wall,psnr_floor,psnr_trim,psnr_converged,psnr_wedge,glint_conv_pct,glint_fresh_pct,firefly_ratio,sky_lowfreq_err,sky_distinct
V0_Baseline,951.2,30.63,26.49,37.26,39.47,38.81,27.34,99.2,86.9,1.15,0.021,185
V1_GlintSafeClamp,898.3,30.64,26.50,37.26,39.46,38.81,27.33,99.2,86.9,1.15,0.021,185
V2_YoungVarianceFloor,902.8,30.70,26.51,37.26,39.47,38.81,27.95,99.2,86.9,1.15,0.021,185
V3_SigmaSchedule,902.6,31.05,27.03,36.91,37.56,39.68,26.99,99.6,92.4,1.26,0.021,185
V4_LogLumaStop,1221.4,30.56,26.32,37.19,40.14,38.88,27.37,100.0,93.5,1.24,0.021,185
V5_OutputDither,886.5,30.62,26.49,37.23,39.42,38.77,27.34,99.2,86.9,1.15,0.041,249
V6_DepthGradient,955.9,30.68,26.54,37.14,40.14,38.67,27.26,99.3,88.1,1.18,0.021,185
V7_AlbedoDemodulation,908.8,38.30,37.87,42.59,40.18,43.17,31.15,99.1,86.8,1.14,0.021,185
V8_Combined,1315.6,37.97,37.32,39.13,38.81,43.36,31.34,100.0,97.7,1.47,0.041,249
V9_ShipSet,1317.4,37.97,37.32,39.14,38.81,43.35,31.34,100.0,97.7,1.48,0.041,249
